trade_id,entry_time,exit_time,entry_price,exit_price,quantity,profit_pct,profit_usdt,direction_prob,exit_signal_prob,trade_result,trade_duration
"41870414918","2025-04-23 21:30:01","2025-04-24 07:15:02","93741.38","92623.99","0.00010000","-1.1920","-0.1117","0.6213","0.4650","Loss","9 hours 45 minutes"
"41887973185","2025-04-24 07:30:01","2025-04-24 17:30:03","92380.31","93031.09","0.00010000","0.7045","0.0651","0.9117","0.4408","Win","10 hours 0 minutes"
"41913917321","2025-04-24 17:45:01","2025-04-24 18:00:02","92764.89","93000.00","0.00010000","0.2534","0.0235","0.8182","0.4339","Win","15 minutes"
"41915052109","2025-04-24 18:15:01","2025-04-24 22:15:01","93338.05","93503.95","0.00010000","0.1777","0.0166","0.7287","0.4106","Win","4 hours 0 minutes"
